Ticker,close,high,low,month,open,volume,stock_date,daily_return,yearly_return,cumulative_return,sector,monthly_return
SBIN,602.95,604.9,589.6,2023-10,596.6,15322196,2023-10-03,0.0106436473348977,0.0106436473348977,0.0106436473348977,Financials,-0.0591820991451997
BAJFINANCE,7967.6,7975.5,7755.0,2023-10,7780.8,944555,2023-10-03,0.0240078141065186,0.0240078141065186,0.0240078141065186,Financials,-0.06096149018530891
TITAN,3196.25,3212.5,3114.4,2023-10,3148.8,1007308,2023-10-03,0.0150692327235771,0.0150692327235771,0.0150692327235771,Consumer Goods,0.021340111059750907
ITC,439.75,442.9,439.25,2023-10,441.0,7481883,2023-10-03,-0.0028344671201814,-0.0028344671201814,-0.0028344671201814,Consumer Goods,-0.0279783339801953
TCS,3513.85,3534.2,3480.1,2023-10,3534.2,1948148,2023-10-03,-0.0057580216173391,-0.0057580216173391,-0.0057580216173391,Information Technology,-0.0298080527024503
LT,3073.25,3077.45,2995.1,2023-10,3040.5,3254492,2023-10-03,0.0107712547278408,0.0107712547278408,0.0107712547278408,Engineering & Construction,-0.025338424963062416
TATACONSUM,861.2,868.75,853.49,2023-10,859.32,1168848,2023-10-03,0.0021877763813247,0.0021877763813247,0.0021877763813247,Consumer Goods,0.0333666261904092
RELIANCE,1159.08,1167.8,1158.0,2023-10,1164.97,8859056,2023-10-03,-0.005055924186889,-0.005055924186889,-0.005055924186889,Energy,-0.013304219924237998
HCLTECH,1238.7,1256.7,1222.7,2023-10,1232.5,2162636,2023-10-03,0.0050304259634888,0.0050304259634888,0.0050304259634888,Information Technology,0.0384207832744023
JSWSTEEL,770.25,776.55,768.0,2023-10,776.55,1099773,2023-10-03,-0.0081128066447749,-0.0081128066447749,-0.0081128066447749,Materials,-0.0707841271754326
ULTRACEMCO,8304.9,8377.0,8221.2,2023-10,8289.0,454402,2023-10-03,0.0019182048498008,0.0019182048498008,0.0019182048498008,Materials,-0.0016597512340054401
POWERGRID,199.55,200.0,196.9,2023-10,198.75,10830728,2023-10-03,0.0040251572327044,0.0040251572327044,0.0040251572327044,Utilities,0.050498284158459
INFY,1434.0,1437.0,1420.3,2023-10,1436.05,4181867,2023-10-03,-0.0014275268966957,-0.0014275268966957,-0.0014275268966957,Information Technology,0.017735213479780503
TRENT,2059.1,2086.3,2052.0,2023-10,2074.3,543387,2023-10-03,-0.0073277732247024,-0.0073277732247024,-0.0073277732247024,Consumer Goods,0.0154568478510804
BHARTIARTL,925.3,928.25,916.05,2023-10,918.25,4338272,2023-10-03,0.0076776476994282,0.0076776476994282,0.0076776476994282,Telecommunications,0.046616751628724
TATAMOTORS,620.45,632.65,618.6,2023-10,632.6,6894577,2023-10-03,-0.0192064495731899,-0.0192064495731899,-0.0192064495731899,Automotive,-0.06159839105455772
WIPRO,405.45,408.1,403.6,2023-10,406.45,2864052,2023-10-03,-0.0024603272235207,-0.0024603272235207,-0.0024603272235207,Information Technology,-0.010741080584392698
TECHM,1216.2,1230.7,1212.55,2023-10,1220.6,1622290,2023-10-03,-0.0036047845321971,-0.0036047845321971,-0.0036047845321971,Information Technology,-0.0177877868570246
NTPC,241.2,246.7,240.55,2023-10,244.35,14885044,2023-10-03,-0.0128913443830571,-0.0128913443830571,-0.0128913443830571,Utilities,-0.0311427481751876
HINDUNILVR,2468.9,2499.0,2461.8,2023-10,2490.0,1585626,2023-10-03,-0.0084738955823292,-0.0084738955823292,-0.0084738955823292,Consumer Goods,0.042035091862892004
APOLLOHOSP,5118.95,5154.95,5066.0,2023-10,5138.95,268482,2023-10-03,-0.0038918456104846,-0.0038918456104846,-0.0038918456104846,Healthcare,-0.0585281031974724
M&M,1537.4,1598.0,1533.05,2023-10,1597.2,3436776,2023-10-03,-0.0374405209115952,-0.0374405209115952,-0.0374405209115952,Automotive,-0.0618484403865628
GRASIM,1913.84,1931.32,1899.1,2023-10,1920.46,591326,2023-10-03,-0.0034470908011622,-0.0034470908011622,-0.0034470908011622,Materials,-0.0217786236849658
ICICIBANK,940.3,951.6,939.0,2023-10,951.6,11131636,2023-10-03,-0.0118747372845734,-0.0118747372845734,-0.0118747372845734,Financials,-0.035850225373608595
ADANIENT,2387.25,2424.9,2372.0,2023-10,2418.0,2019899,2023-10-03,-0.0127171215880893,-0.0127171215880893,-0.0127171215880893,Infrastructure,-0.09015027932084631
ADANIPORTS,831.4,836.75,824.25,2023-10,826.0,2453090,2023-10-03,0.0065375302663437,0.0065375302663437,0.0065375302663437,Transportation,-0.09282622197852419
BEL,139.2,140.6,137.2,2023-10,137.9,19010910,2023-10-03,0.0094271211022478,0.0094271211022478,0.0094271211022478,Defense & Electronics,-0.004900189765348306
BAJAJFINSV,1561.05,1564.2,1527.0,2023-10,1530.25,1083086,2023-10-03,0.0201274301584708,0.0201274301584708,0.0201274301584708,Financials,0.029495884238253202
EICHERMOT,3351.4,3434.95,3302.9,2023-10,3426.9,1354075,2023-10-03,-0.0220315737255245,-0.0220315737255245,-0.0220315737255245,Automotive,-0.024993908416396093
COALINDIA,291.9,297.1,290.1,2023-10,297.05,9348540,2023-10-03,-0.0173371486281771,-0.0173371486281771,-0.0173371486281771,Energy,0.0597721594729207
MARUTI,10346.9,10709.8,10303.3,2023-10,10709.8,623006,2023-10-03,-0.033884853125175,-0.033884853125175,-0.033884853125175,Automotive,-0.036944669836427
